% Edge logfile: log_20240404_121729.277/log_edge_ctrl.txt
% 1 	Time (sec)
% 2 	heading mode (edge control == 2)
% 3 	Edge 1=left, 0=right
% 4 	Edge offset (signed in m; should be less than about 0.01)
% 5 	Measured edge value (m; positive is left)
% 6 	control value (rad/sec; positive is CCV)
% 7 	limited
1712225851.2809 2 1 0.0300 0.0173 -0.5554 0
1712225851.2888 2 1 0.0300 0.0176 -0.5305 0
1712225851.2970 2 1 0.0300 0.0171 -0.5678 0
1712225851.3050 2 1 0.0300 0.0173 -0.5481 0
1712225851.3127 2 1 0.0300 0.0169 -0.5769 0
1712225851.3207 2 1 0.0300 0.0172 -0.5524 0
1712225851.3288 2 1 0.0300 0.0176 -0.5213 0
1712225851.3369 2 1 0.0300 0.0174 -0.5296 0
1712225851.3449 2 1 0.0300 0.0170 -0.5652 0
1712225851.3531 2 1 0.0300 0.0168 -0.5776 0
1712225851.3608 2 1 0.0300 0.0169 -0.5697 0
1712225851.3688 2 1 0.0300 0.0167 -0.5791 0
1712225851.3770 2 1 0.0300 0.0170 -0.5505 0
1712225851.3847 2 1 0.0300 0.0179 -0.4812 0
1712225851.3927 2 1 0.0300 0.0177 -0.4945 0
1712225851.4009 2 1 0.0300 0.0176 -0.5072 0
1712225851.4086 2 1 0.0300 0.0176 -0.5067 0
1712225851.4166 2 1 0.0300 0.0179 -0.4772 0
1712225851.4248 2 1 0.0300 0.0177 -0.4955 0
1712225851.4325 2 1 0.0300 0.0184 -0.4420 0
1712225851.4405 2 1 0.0300 0.0175 -0.5155 0
1712225851.4487 2 1 0.0300 0.0178 -0.4916 0
1712225851.4564 2 1 0.0300 0.0170 -0.5500 0
1712225851.4644 2 1 0.0300 0.0173 -0.5225 0
1712225851.4728 2 1 0.0300 0.0174 -0.5200 0
1712225851.4805 2 1 0.0300 0.0174 -0.5198 0
1712225851.4885 2 1 0.0300 0.0176 -0.5001 0
1712225851.4967 2 1 0.0300 0.0177 -0.4933 0
1712225851.5044 2 1 0.0300 0.0176 -0.4963 0
1712225851.5125 2 1 0.0300 0.0179 -0.4787 0
1712225851.5206 2 1 0.0300 0.0180 -0.4709 0
1712225851.5283 2 1 0.0300 0.0184 -0.4397 0
1712225851.5364 2 1 0.0300 0.0180 -0.4671 0
1712225851.5444 2 1 0.0300 0.0183 -0.4456 0
1712225851.5533 2 1 0.0300 0.0179 -0.4763 0
1712225851.5605 2 1 0.0300 0.0185 -0.4292 0
1712225851.5685 2 1 0.0300 0.0183 -0.4527 0
1712225851.5772 2 1 0.0300 0.0194 -0.3654 0
1712225851.5853 2 1 0.0300 0.0191 -0.3885 0
1712225851.5932 2 1 0.0300 0.0187 -0.4219 0
1712225851.6013 2 1 0.0300 0.0187 -0.4248 0
1712225851.6093 2 1 0.0300 0.0195 -0.3626 0
1712225851.6173 2 1 0.0300 0.0193 -0.3865 0
1712225851.6251 2 1 0.0300 0.0197 -0.3561 0
1712225851.6330 2 1 0.0300 0.0193 -0.3902 0
1712225851.6410 2 1 0.0300 0.0197 -0.3628 0
1712225851.6490 2 1 0.0300 0.0196 -0.3713 0
1712225851.6572 2 1 0.0300 0.0198 -0.3537 0
1712225851.6651 2 1 0.0300 0.0200 -0.3421 0
1712225851.6728 2 1 0.0300 0.0204 -0.3110 0
1712225851.6808 2 1 0.0300 0.0205 -0.3090 0
1712225851.6888 2 1 0.0300 0.0208 -0.2868 0
1712225851.6968 2 1 0.0300 0.0204 -0.3245 0
1712225851.7048 2 1 0.0300 0.0207 -0.3021 0
1712225851.7129 2 1 0.0300 0.0209 -0.2959 0
1712225851.7206 2 1 0.0300 0.0211 -0.2819 0
1712225851.7286 2 1 0.0300 0.0207 -0.3183 0
1712225851.7368 2 1 0.0300 0.0212 -0.2816 0
1712225851.7445 2 1 0.0300 0.0206 -0.3300 0
1712225851.7526 2 1 0.0300 0.0207 -0.3281 0
1712225851.7607 2 1 0.0300 0.0203 -0.3559 0
1712225851.7684 2 1 0.0300 0.0212 -0.2861 0
1712225851.7765 2 1 0.0300 0.0207 -0.3342 0
1712225851.7847 2 1 0.0300 0.0204 -0.3575 0
1712225851.7924 2 1 0.0300 0.0207 -0.3397 0
1712225851.8006 2 1 0.0300 0.0207 -0.3407 0
1712225851.8087 2 1 0.0300 0.0209 -0.3198 0
1712225851.8163 2 1 0.0300 0.0211 -0.3110 0
1712225851.8243 2 1 0.0300 0.0211 -0.3109 0
1712225851.8326 2 1 0.0300 0.0209 -0.3284 0
1712225851.8405 2 1 0.0300 0.0205 -0.3603 0
1712225851.8487 2 1 0.0300 0.0209 -0.3294 0
1712225851.8567 2 1 0.0300 0.0212 -0.3110 0
1712225851.8644 2 1 0.0300 0.0214 -0.3008 0
1712225851.8725 2 1 0.0300 0.0217 -0.2793 0
1712225851.8806 2 1 0.0300 0.0217 -0.2800 0
1712225851.8883 2 1 0.0300 0.0217 -0.2799 0
1712225851.8965 2 1 0.0300 0.0214 -0.3112 0
1712225851.9045 2 1 0.0300 0.0219 -0.2680 0
1712225851.9132 2 1 0.0300 0.0220 -0.2674 0
1712225851.9205 2 1 0.0300 0.0223 -0.2462 0
1712225851.9285 2 1 0.0300 0.0224 -0.2429 0
1712225851.9373 2 1 0.0300 0.0224 -0.2431 0
1712225851.9452 2 1 0.0300 0.0224 -0.2430 0
1712225851.9524 2 1 0.0300 0.0225 -0.2385 0
1712225851.9613 2 1 0.0300 0.0227 -0.2278 0
1712225851.9683 2 1 0.0300 0.0230 -0.2113 0
1712225851.9764 2 1 0.0300 0.0227 -0.2371 0
1712225851.9852 2 1 0.0300 0.0229 -0.2212 0
1712225851.9932 2 1 0.0300 0.0231 -0.2125 0
1712225852.0013 2 1 0.0300 0.0229 -0.2268 0
1712225852.0092 2 1 0.0300 0.0234 -0.1967 0
1712225852.0172 2 1 0.0300 0.0235 -0.1874 0
1712225852.0253 2 1 0.0300 0.0232 -0.2197 0
1712225852.0330 2 1 0.0300 0.0228 -0.2479 0
1712225852.0409 2 1 0.0300 0.0221 -0.3071 0
1712225852.0491 2 1 0.0300 0.0223 -0.2947 0
1712225852.0570 2 1 0.0300 0.0219 -0.3250 0
1712225852.0650 2 1 0.0300 0.0218 -0.3317 0
1712225852.0732 2 1 0.0300 0.0216 -0.3474 0
1712225852.0810 2 1 0.0300 0.0212 -0.3764 0
1712225852.0890 2 1 0.0300 0.0207 -0.4145 0
1712225852.0973 2 1 0.0300 0.0209 -0.3992 0
1712225852.1051 2 1 0.0300 0.0209 -0.3968 0
1712225852.1131 2 1 0.0300 0.0209 -0.3991 0
1712225852.1210 2 1 0.0300 0.0207 -0.4063 0
1712225852.1287 2 1 0.0300 0.0206 -0.4179 0
1712225852.1367 2 1 0.0300 0.0204 -0.4267 0
1712225852.1449 2 1 0.0300 0.0200 -0.4576 0
1712225852.1527 2 1 0.0300 0.0199 -0.4628 0
1712225852.1607 2 1 0.0300 0.0201 -0.4464 0
1712225852.1689 2 1 0.0300 0.0194 -0.4983 0
1712225852.1767 2 1 0.0300 0.0196 -0.4810 0
1712225852.1849 2 1 0.0300 0.0192 -0.5090 0
1712225852.1931 2 1 0.0300 0.0189 -0.5292 0
1712225852.2010 2 1 0.0300 0.0194 -0.4857 0
1712225852.2090 2 1 0.0300 0.0198 -0.4496 0
